Effect Name,Description
Neutralizing,"While this item is equipped, when you take acid damage, you can use your reaction to reduce the acid damage by 1d6."
Insulated,"While this item is equipped, when you take cold damage, you can use your reaction to reduce the cold damage by 1d6."
Flame Retardant,"While this item is equipped, when you take fire damage, you can use your reaction to reduce the fire damage by 1d6."
of the Hells,"While this item is equipped, when you take radiant damage, you can use your reaction to reduce the radiant damage by 1d6."
Holy,"While this item is equipped, when you take necrotic damage, you can use your reaction to reduce the necrotic damage by 1d6."
Soundproof,"While this item is equipped, when you take thunder damage, you can use your reaction to reduce the thunder damage by 1d6."
of Shielding,"While this item is equipped, when you take force damage, you can use your reaction to reduce the force damage by 1d6."
of Mental Fortitude,"While this item is equipped, when you take psychic damage, you can use your reaction to reduce the psychic damage by 1d6."
of Snacks,"This item has a hidden compartment filled with nuts, dried fruit, or some other kind of snack. If the compartment is emptied, it is magically refilled with more small snacks the next dawn."
Stained Glass,"This item is made of solid, beautiful stained glass. Despite its glass construction, the item is strong, as if made from steel."
Nature's,"This item is made entirely of wood and vines. It looks more like it was grown rather than constructed. Despite its organic construction, the item is strong, as if made from steel."
Rainy Day,"While this item is equipped, an invisible force diverts falling rain before it hits you, as if it were an invisible umbrella."
Con Man's,"As an action, you can shift this item's appearance to look neglected (dented, cracked, rusted, etc.), normal (like an average item of its type), or luxurious (pristine, well made, fine materials, etc.). The item functions the same in each form."
Pocket,"As an action, you can stow or retrieve this item from an extradimensional space. You must be touching the item to stow it and only the person who stowed the item can retrieve it. When retrieving the item, it appears in your hand or in an empty space that you can see within 5 ft. of you."
Fisherman's Lucky,"While this item is equipped, you have advantage on checks made to catch fish or other sea creatures."
Musician's,"While this item is equipped, you gain proficiency in one instrument of the GM's choice."
Crystalline,"This item is made entirely from clear crystals. Despite its crystalline construction, the item is strong, as if made from steel."
of the Bone Collector,"This item is made entirely from various animal bones. Despite its strange construction, the item is strong, as if made from steel."
of Living Ice,"This item made entirely of ice. The ice is cool to the touch and does not melt. Despite its strange construction, the item is strong, as if made from steel."
of the Loot Goblin,"As an action, you can use this item to determine the direction of the nearest piece of art, jewel, or collection of currency worth 500 gp or more within 1000 ft. of you."
of the Wanderer,"While this item is equipped, you can recall and retrace the exact path you've traveled for the last mile."
of the Cavalry,"While this item is equipped, you have advantage on checks or saving throws made to control or stay mounted upon a beast you are riding."
Mirrored,"This item projects an illusory copy of itself, slightly obfuscating its actual position. Checks made to disarm or steal this item from its wielder are made with disadvantage."
Possessed,"The air around this item is unnaturally cold. While this item is equipped, when you look into a mirror or reflective surface, you see a shadowy figure behind you in the reflection."
of the Lost Kingdom,"This item bears the cracked or defaced symbol of an ancient kingdom. While this item is equipped, you have advantage on Intelligence(History) checks made to recall lore about ancient kingdoms or civilizations."
