Power Level,Prefix Name,Suffix Name,Attunement,Description
curse,Noisy,of Noise,FALSE,"This item seems to rattle and creak as you move. While this item is equipped, you have disadvantage on Dexterity(Stealth) checks."
curse,Naive,of Naivete,FALSE,"While this item is equipped, you have disadvantage on Wisdom(Survival) checks."
curse,Sickly,of Sickness,FALSE,"While this item is equipped, you have disadvantage on checks or saving throws made to resist disease."
curse,Vulnerable (Slashing),of Slashing Vulnerability,FALSE,"While this item is equipped, you are vulnerable to slashing damage."
curse,Vulnerable (Piercing),of Piercing Vulnerability,FALSE,"While this item is equipped, you are vulnerable to piercing damage."
curse,Vulnerable (Bludgeoning),of Bludgeoning Vulnerability,FALSE,"While this item is equipped, you are vulnerable to bludgeoning damage."
curse,Vulnerable (Poison),of Poison Vulnerability,FALSE,"While this item is equipped, you are vulnerable to poison damage."
curse,Vulnerable (Acid),of Acid Vulnerability,FALSE,"While this item is equipped, you are vulnerable to acid damage."
curse,Vulnerable (Fire),of Fire Vulnerability,FALSE,"While this item is equipped, you are vulnerable to fire damage."
curse,Vulnerable (Cold),of Cold Vulnerability,FALSE,"While this item is equipped, you are vulnerable to cold damage."
curse,Vulnerable (Radiant),of Radiant Vulnerability,FALSE,"While this item is equipped, you are vulnerable to radiant damage."
curse,Vulnerable (Necrotic),of Necrotic Vulnerability,FALSE,"While this item is equipped, you are vulnerable to necrotic damage."
curse,Vulnerable (Lightning),of Lightning Vulnerability,FALSE,"While this item is equipped, you are vulnerable to lightning damage."
curse,Vulnerable (Thunder),of Thunder Vulnerability,FALSE,"While this item is equipped, you are vulnerable to thunder damage."
curse,Vulnerable (Force),of Force Vulnerability,FALSE,"While this item is equipped, you are vulnerable to force damage."
curse,Vulnerable (Psychic),of Psychic Vulnerability,FALSE,"While this item is equipped, you are vulnerable to psychic damage."
curse,Blighted,of the Blight,FALSE,Flowers and other small plants within 10 ft. of this item wilt and die.
curse,Sandy,of Sand,FALSE,"While this item is equipped, you constantly find sand in your pockets, shoes, and many other places."
curse,Hopscotch,of Hopscotch,FALSE,"While this item is equipped, you can only have one foot touching the ground or floor at a time."
curse,Bob's,of Bob,FALSE,"The name ""Bob"" is carved or inscribed on this item. While this item is equipped, your true name is forgotten and you can only be referred to as ""Bob."" Anyone who knew your true name only remembers you as ""Bob."""
curse,Songbird,of the Songbird,FALSE,"While this item is equipped, you can only communicate through song."
curse,Head Splitting,of Chronic Migraines,FALSE,"This item causes chronic headaches to those that touch it. While this item is equipped, when you complete a short or long rest you take 1d4 psychic damage."
curse,Haiku,of Haikus,FALSE,"While this item is equipped, you can only communicate using haikus."
curse,Soluble,of Dissolution,FALSE,This item dissolves into nothing and is permanently destroyed if it touches any amount of water.
curse,Rhyming,of Rhymes,FALSE,"While this item is equipped, you can only communicate using rhyming couplets."
curse,Narc's,of the Narc,FALSE,"While this item is equipped, your shifty eyes and strange behavior give off the wrong vibe. You have disadvantage on Charisma checks made to influence teens, hip young folks, or anyone under the influence of drugs or alcohol."
curse,Vampiric,of the Vampire,FALSE,"This item feeds off the life force of nearby creatures. Each time you complete a short or long rest While this item is equipped, your current and maximum hit points are reduced by 1. Remove curse, greater restoration, or some kind of similar magic can restore your maximum hit points to their original value."
curse,Shrinking,of Shrinking,FALSE,"Each time you complete a long rest While this item is equipped, your height is reduced by 1 inch (2.5 cm). Remove curse, greater restoration, or some kind of similar magic can restore you to your original height."
curse,Quick Death,of the Quick Death,FALSE,"This item has a skull carved or inscribed upon it. While this item is equipped, you have disadvantage on death saving throws."
curse,Schrödinger's,of Schrödinger,FALSE,This item only exists on your current plane while someone is looking at it.
curse,Outdated,of the Grandpa,FALSE,"While this item is equipped, illusory magic causes your hair and clothing take on the appearance of whatever was fashionable 50 years ago."
curse,Merchant's Bane,of Merchants' Bane,FALSE,"While this item is equipped, you have disadvantage on checks made to haggle or negotiate prices."
curse,Festering,of Festering Wounds,FALSE,"While this item is equipped, whenever you roll hit dice to regain hit points, you halve the number rolled on each hit die (rounded down, minimum of 1) when calculating the total number of hit points regained."
curse,Attunement Eating,of Attunement Eating,TRUE,"While this item is equipped, you cannot attune to items other than this item. Any items that you are currently attuned to when you become attuned to this item are immediately unattuned."
curse,Light Sensitive,of Light Sensitivity,FALSE,"While this item is equipped and you are in bright light, you have disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight."
curse,Farsighted,of Farsightedness,FALSE,"While this item is equipped, you have disadvantage on attack rolls against targets within 30 ft. of you."
curse,Nearsighted,of Nearsightedness,FALSE,"While this item is equipped, you have disadvantage on attack rolls against targets further than 30 ft. away from you."
high,Restful,of Rest,FALSE,"This item seems to be of Elven make. While this item is equipped, you need only 4 hours of sleep to gain the effects of a long rest."
high,Replicating,of Replication,FALSE,"Each dawn roll a d20. On a 20, this item creates an exact duplicate of itself which appears in an empty space within 5ft. of the original."
high,Blind Man's,of the Blind Man,FALSE,"While this item is equipped, you gain blindsight out to a range of 10 ft."
high,Badger's,of the Badger,FALSE,"While this item is equipped, you gain tremorsense out to a range of 15 ft."
high,Master Acrobat's,of Acrobatics,FALSE,"While this item is equipped, you have advantage on Dexterity(Acrobatics) checks."
high,Beastmaster's,of the Beastmaster,FALSE,"While this item is equipped, you have advantage on Wisdom(Animal Handling) checks."
high,Archmage's,of the Archmage,FALSE,"This item is covered in arcane symbols. While this item is equipped, you have advantage on Intelligence(Arcana) checks."
high,Olympic,of the Olympian,FALSE,"While this item is equipped, you have advantage on Strength(Athletics) checks."
high,Compulsive Liar's,of the Compulsive Liar,FALSE,"While this item is equipped, you have advantage on Charisma(Deception) checks."
high,History Professor's,of the Professor,FALSE,"While this item is equipped, you have advantage on Intelligence(History) checks."
high,All Seeing,of the All Seeing,FALSE,"While this item is equipped, you have advantage on Wisdom(Insight) checks."
high,Fearsome,of Fear,FALSE,"While this item is equipped, you have advantage on Charisma(Intimidation) checks."
high,Detective's,of the Detective,FALSE,"While this item is equipped, you have advantage on Intelligence(Investigation) checks."
high,Doctor's,of the Doctor,FALSE,"While this item is equipped, you have advantage on Wisdom(Medicine) checks."
high,Park Ranger's,of the Park Ranger,FALSE,"While this item is equipped, you have advantage on Intelligence(Nature) checks."
high,Eagle-Eyed,of Eagle-Eyes,FALSE,"This item has the eyes of an eagle carved or inscribed upon it. While this item is equipped, you have advantage on Wisdom(Perception) checks."
high,Oscar Winning,of the Oscar,FALSE,"While this item is equipped, you have advantage on Charisma(Performance) checks."
high,Salesman's,of Salesmen,FALSE,"While this item is equipped, you have advantage on Charisma(Persuasion) checks."
high,Saintly,of the Saint,FALSE,"This item has a religious symbol carved or inscribed upon it. While this item is equipped, you have advantage on Intelligence(Religion) checks."
high,Shadow Hand's,of the Shadow Hand,FALSE,"While this item is equipped, you have advantage on Dexterity(Sleight of Hand) checks."
high,Pure Shadow,of Pure Shadow,FALSE,"Nearby shadows seem to cling to this item. While this item is equipped, you have advantage on Dexterity(Stealth) checks."
high,Survivor's,of Survival,FALSE,"While this item is equipped, you have advantage on Wisdom(Survival) checks."
high,Longstrider's,of the Longstrider,FALSE,"While this item is equipped, your walking speed increases by 10 ft."
high,Unrelenting,of Unrelenting,FALSE,"While this item is equipped, finishing a short rest reduces your exhaustion level by 1, provided you also ingested some food or drink."
high,Shorter Rest,of Shorter Rests,FALSE,"While this item is equipped, you need only 30 minutes to gain the effects of a short rest."
high,Rapid Recovery,of Rapid Recovery,FALSE,"While this item is equipped, you can use an action to spend a number of hit dice equal to half of your total number of hit dice (rounded down). Each hit die restores your hit points as if it had been spent during a short rest."
high,Resistant (Slashing),of Slashing Resistance,TRUE,"While this item is equipped, you are resistant to slashing damage."
high,Resistant (Piercing),of Piercing Resistance,TRUE,"While this item is equipped, you are resistant to piercing damage."
high,Resistant (Bludgeoning),of Bludgeoning Resistance,TRUE,"While this item is equipped, you are resistant to bludgeoning damage."
high,Resistant (Poison),of Poison Resistance,TRUE,"While this item is equipped, you are resistant to poison damage."
high,Resistant (Acid),of Acid Resistance,TRUE,"While this item is equipped, you are resistant to acid damage."
high,Resistant (Fire),of Fire Resistance,TRUE,"While this item is equipped, you are resistant to fire damage."
high,Resistant (Cold),of Cold Resistance,TRUE,"This item radiates a calming warmth. While this item is equipped, you are resistant to cold damage."
high,Resistant (Radiant),of Radiant Resistance,TRUE,"While this item is equipped, you are resistant to radiant damage."
high,Resistant (Necrotic),of Necrotic Resistance,TRUE,"While this item is equipped, you are resistant to necrotic damage."
high,Resistant (Lightning),of Lightning Resistance,TRUE,"While this item is equipped, you are resistant to lightning damage."
high,Resistant (Thunder),of Thunder Resistance,TRUE,"While this item is equipped, you are resistant to thunder damage."
high,Resistant (Force),of Force Resistance,TRUE,"While this item is equipped, you are resistant to force damage."
high,Resistant (Psychic),of Psychic Resistance,TRUE,"While this item is equipped, you are resistant to psychic damage."
high,Amphibious,of Amphibians,FALSE,"While this item is equipped, you can breathe in both air and water."
high,Nocturnal,of the Nocturnal,FALSE,"While this item is equipped, you gain darkvision out to a range of 30 ft."
high,Keen Sight,of Keen Sight,FALSE,"While this item is equipped, you have advantage on Wisdom(Perception) checks that rely on sight."
high,Keen Hearing,of Keen Hearing,FALSE,"While this item is equipped, you have advantage on Wisdom(Perception) checks that rely on hearing."
high,Keen Smell,of Keen Smell,FALSE,"While this item is equipped, you have advantage on Wisdom(Perception) checks that rely on smell."
high,Unseen,of the Unseen,FALSE,"As an action, you can use this item to make yourself invisible, gaining the effects of the Invisibility spell (no concentration required) for up to one minute. This feature cannot be used again until the next dawn."
high,Silent,of Silence,FALSE,"As an action, you can use this item to create a 10 ft. sphere of silence centered on and moving with the item. For one minute, the area within the sphere is under the effect of the Silence spell (no concentration required. This feature cannot be used again until the next dawn."
high,Aviator's,of Aviation,FALSE,"This item has a pair of wings carved or inscribed on it. As an action, you can use this item to give yourself a flying speed of 30 ft. for one minute. This item becomes weightless and flies with you for the duration as long as you are touching it. This feature cannot be used again until the next dawn."
high,Stoneborn,of the Stoneborn,FALSE,"This item seems to made from solid stone. While this item is equipped, you can move through solid stone as if it were difficult terrain. If you end your turn still within the stone, you are expelled to the nearest unoccupied space, taking 2d6 bludgeoning damage per 5 ft. of stone you move through."
high,Unseen Spirit's,of the Unseen Spirit,FALSE,"This item contains an ancient spirit. As an action, you can summon the spirit from the item to do your bidding for one hour, gaining the effects of the Unseen Servant spell. The spirit cannot move more than 60 ft. away from the item. This feature cannot be used again until the next dawn."
high,Sylvan Ambassador's,of the Sylvan Ambassador,FALSE,"This item appears to be made from still-living wood. While this item is equipped, you can use an action to touch a tree and see its recent memories. You learn the type and number of any creatures that have moved within 15 ft. of this tree in the last 24 hours. "
high,Lucky,of Luck,TRUE,"After spending one minute performing a ritual, praying, or meditating, choose a number between 2-19. While this item is equipped, your attacks score a critical hit on a roll of 20 or the chosen number. You cannot change the chosen number again until the next dawn."
high,Defender,of Defense,TRUE,"This item is sturdy and well worn. While this item is equipped, you gain a +1 bonus to your AC."
high,Thought Protecting,of Thought Protection,TRUE,"While this item is equipped, you gain a +1 bonus to your Intelligence, Wisdom, and Charisma saving throws and you are immune to the charmed and frightened conditions."
high,Unsleeping,of the Unsleeping,FALSE,"This item has a pair of open eyes carved or inscribed upon it. While this item is equipped, you cannot be put to sleep by poison or magical means."
high,Brave,of Bravery,FALSE,"Touching this item makes your feel brave, even in the face of immense danger. While this item is equipped, you have advantage on saves made to resist the frightened condition."
high,Peerless,of Peerless Physique,TRUE,"While this item is equipped, you gain a +1 bonus to your Strength, Dexterity, and Constitution saving throws and you are immune to the paralyzed and poisoned conditions."
high,Skilled,of the Skilled,TRUE,"This item grants you a portion of each of its previous owners' skill sets. While this item is equipped, you gain a +1 bonus to all skill checks."
high,Tradesman's,of All Trades,FALSE,"Over the years, this item has passed through the hands of many skilled craftsmen. While this item is equipped, you gain a +1 bonus to checks made with any tool set."
high,Mole Person's,of the Mole People,TRUE,"This item is always caked in dirt and mud, as if it was just dug up from the ground. While this item is equipped, you gain a burrowing speed of 30 ft. and tremorsense out to a range of 60 ft."
high,Burrowing,of Burrowing,FALSE,"This item is always caked in dirt and mud, as if it was just dug up from the ground. While this item is equipped, you gain a burrowing speed of 30 ft."
high,Pain-Sharing,of Shared Pain,FALSE,"While this item is equipped, when another creature you can see within 30 ft. takes damage, you can use your reaction to reduce the damage taken by 1d12. You also take psychic damage equal to the number rolled."
high,Windwalker's,of Wind Walking,TRUE,"This item is exceptionally light. While this item is equipped, you have a flying speed equal to your walking speed. This benefit works only in short bursts; you fall if you end your turn in the air and nothing else is holding you aloft."
high,Lost Climber's,of the Lost Climber,TRUE,"While this item is equipped, you have a climbing speed equal to your walking speed. Additionally, you have advantage on Wisdom (Survival) checks made in mountainous terrain."
high,Awesome,of Ultimate Awesomeness,FALSE,"While this item is equipped, you are fuckin awesome. Just an absolute badass that can do anything you set your mind to (Curse: This item isn't actually magical. The awesomeness was in you all along)."
high,Emberheart,of the Emberheart,FALSE,"This item radiates an intense but harmless heat and is immune to fire damage. While this item is equipped, you can use an action to regain 4d4+4 hit points. This feature cannot be used again until this item has rested in an open flame (such as a campfire) for at least one hour."
high,Last Stand,of the Last Stand,FALSE,"While this item is equipped, when you take damage that would reduce your hitpoints to 0, you can use your reaction to make one weapon attack before falling unconscious."
high,Unkillable,of the Unkillable,TRUE,"While this item is equipped, you have advantage on death saving throws. Additionally, rolling a 1 on a death saving throw only counts as one failure, not two."
high,Ursine,of the Bear,FALSE,"While this item is equipped, your physical features become akin to that of a bear (clawed hands, large fangs, fur, etc.). Unarmed strikes made with your hands or teeth deal slashing or piercing damage equal to 1d6 plus your Strength modifier."
high,Useful,of Useful Items,FALSE,"While touching this item, you can perform a 1 minute ritual to transform it into a shortsword, shield, umbrella, crowbar, 10 ft. ladder, 10 ft. chain, or 50 ft. of rope. This transformation lasts 1 hour or until you use an action to touch the item and revert it to its original form."
high,Skeleton Key,of the Skeleton Key,FALSE,"This item once belonged to a master thief and has a +8 bonus to checks made to pick locks. While this item is equipped, you can attempt to pick a lock that you can touch without requiring thieves' tools and using the item's lockpicking bonus instead of your own. This feature cannot be used again until the next dawn."
high,Battle Cry,of the Battle Cry,FALSE,"While this item is equipped, you can use an action to unleash a fearsome battle cry. Each enemy within 60 ft. that can hear you must succeed on a DC 13 Wisdom saving throw or become frightened of you until the end of your next turn. Success or failure, a creature cannot be affected by your battle cry again until the next dawn."
high,Extreme,of Extremes,TRUE,"While this item is equipped, each time you roll a d20, you treat a roll of 1-5 on the die as if it were a 1 and a roll of 16-20 on the die as if it were a 20."
high,Guardian Angel,of the Guardian Angel,FALSE,"While this item is equipped, when a creature you can see within 30 ft. makes a death saving throw, you can use your reaction to give that creature advantage on the save. You must use this feature prior to the roll being made."
high,Clear-Sighted,of Clear Sight,FALSE,"While this item is equipped, you can see through illusions out to a range of 60 ft."
high,Repeating,of Repeating,TRUE,"While this item is equipped, after taking an action on your turn, you can use a reaction to immediately take the same action again. If you use this feature again before taking a long rest you gain a level of exhaustion for each use after the first."
high,Immutable,of Immutability,FALSE,"While this item is equipped, you are immune to any spell or effect that would alter your form."
high,Spell Resistant,of Spell Resistance,TRUE,"While this item is equipped, you have advantage on saving throws against spells and other magical effects."
high,Acid Aura,of the Acid Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 acid damage."
high,Cold Aura,of the Cold Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 cold damage."
high,Fire Aura,of the Fire Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 fire damage."
high,Force Aura,of the Force Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 force damage."
high,Lightning Aura,of the Lightning Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 lightning damage."
high,Necrotic Aura,of the Necrotic Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 necrotic damage."
high,Poison Aura,of the Poison Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 poison damage."
high,Psychic Aura,of the Psychic Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 psychic damage."
high,Radiant Aura,of the Radiant Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 radiant damage."
high,Thunder Aura,of the Thunder Aura,TRUE,"While this item is equipped, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 thunder damage."
high,Alert,of Alertness,FALSE,"While this item is equipped, it whispers warnings of danger to you, granting you a +1 to initiative rolls and Dexterity saving throws."
high,Bull's,of the Bull,FALSE,"While this item is equipped, you have an exceptionally thick skull. Unarmed strikes made with your head deal bludgeoning damage equal to 1d6 plus your Strength modifier."
high,Soul Stealing,of Soul Stealing,TRUE,"Faint screams can be heard from within this item. While this item is equipped, each time you kill a creature by reducing their hit points to zero you gain temporary hit points equal to that creature's Challenge Rating (CR), rounded up."
high,Enhanced Rest,of Enhanced Rest,FALSE,"While this item is equipped, whenever you roll hit dice to regain hit points, you double the number rolled on each hit die when calculating the total number of hit points regained."
high,Acid Absorbing,of Acid Absorption,FALSE,"While this item is equipped, when you take acid damage, you can use your reaction to negate the acid damage and gain temporary hit points equal to the triggering acid damage. This feature cannot be used again until the next dawn."
high,Cold Absorbing,of Cold Absorption,FALSE,"While this item is equipped, when you take cold damage, you can use your reaction to negate the cold damage and gain temporary hit points equal to the triggering cold damage. This feature cannot be used again until the next dawn."
high,Fire Absorbing,of Fire Absorption,FALSE,"While this item is equipped, when you take fire damage, you can use your reaction to negate the fire damage and gain temporary hit points equal to the triggering fire damage. This feature cannot be used again until the next dawn."
high,Force Absorbing,of Force Absorption,FALSE,"While this item is equipped, when you take force damage, you can use your reaction to negate the force damage and gain temporary hit points equal to the triggering force damage. This feature cannot be used again until the next dawn."
high,Lightning Absorbing,of Lightning Absorption,FALSE,"While this item is equipped, when you take lightning damage, you can use your reaction to negate the lightning damage and gain temporary hit points equal to the triggering lightning damage. This feature cannot be used again until the next dawn."
high,Necrotic Absorbing,of Necrotic Absorption,FALSE,"While this item is equipped, when you take necrotic damage, you can use your reaction to negate the necrotic damage and gain temporary hit points equal to the triggering necrotic damage. This feature cannot be used again until the next dawn."
high,Poison Absorbing,of Poison Absorption,FALSE,"While this item is equipped, when you take poison damage, you can use your reaction to negate the poison damage and gain temporary hit points equal to the triggering poison damage. This feature cannot be used again until the next dawn."
high,Psychic Absorbing,of Psychic Absorption,FALSE,"While this item is equipped, when you take psychic damage, you can use your reaction to negate the psychic damage and gain temporary hit points equal to the triggering psychic damage. This feature cannot be used again until the next dawn."
high,Radiant Absorbing,of Radiant Absorption,FALSE,"While this item is equipped, when you take radiant damage, you can use your reaction to negate the radiant damage and gain temporary hit points equal to the triggering radiant damage. This feature cannot be used again until the next dawn."
high,Thunder Absorbing,of Thunder Absorption,FALSE,"While this item is equipped, when you take thunder damage, you can use your reaction to negate the thunder damage and gain temporary hit points equal to the triggering thunder damage. This feature cannot be used again until the next dawn."
high,Failsafe,of Failsafes,FALSE,"While this item is equipped, if damage would reduce you to 0 hit points, your hit points are immediately restored to their maximum value instead. Once this feature has been used, this item is permanently destroyed."
high,Cinder Queen's,of the Cinder Queen,FALSE,"While this item is equipped, you can use an action to summon a fire elemental in an unoccupied space within 30 ft. of you. The elemental obeys your verbal commands for one hour. Once this feature has been used, this item turns into ash and is permanently destroyed."
high,Sea King's,of the Sea King,FALSE,"While this item is equipped, you can use an action to summon a water elemental in an unoccupied space within 30 ft. of you. The elemental obeys your verbal commands for one hour. Once this feature has been used, this item turns into water and is permanently destroyed."
high,Storm Prince,of the Storm Prince,FALSE,"While this item is equipped, you can use an action to summon an air elemental in an unoccupied space within 30 ft. of you. The elemental obeys your verbal commands for one hour. Once this feature has been used, this item turns into wind and is permanently destroyed."
high,Stone Mother's,of the Stone Mother,FALSE,"While this item is equipped, you can use an action to summon an earth elemental in an unoccupied space within 30 ft. of you. The elemental obeys your verbal commands for one hour. Once this feature has been used, this item turns into dirt and is permanently destroyed."
high,Unchanging,of the Unchanging,TRUE,"This form or appearance of this item cannot be altered. While this item is equipped, you are immune to any spell, curse, or effect that would alter your form, age, maximum hit points, or ability scores."
high,Regenerating,of Regeneration,TRUE,"While this item is equipped, you regain 1 hit point every 5 minutes (12 hit points per hour), up to your hit point maximum."
high,Supernova,of the Supernova,FALSE,"This item radiates an aura of intense power. While this item is equipped, you can use an action to absorb this item's power, permanently destroying the item and doubling all of your ability scores for one minute. After one minute you gain one level of exhaustion."
high,Shielding,of Shielding,TRUE,"While this item is equipped, when you are hit by an attack, you can use a reaction to add +2 to your AC."
high,Quick Step,of Quick Step,FALSE,"While this item is equipped, you can use an action to teleport to an unoccupied space you can see within 60 ft. This feature cannot be used again until the next dawn."
high,Scaled,of Scales,TRUE,"While this item is equipped, your skin is covered in hardened scales. While you aren't wearing armor, your AC equals 12 + your dexterity modifier."
high,Blood Frenzy,of the Blood Frenzy,FALSE,"While this item is equipped, you have advantage on melee attack rolls against any creature that has fewer than half its hit points."
high,Aggressive,of Aggression,FALSE,"While this item is equipped, as a bonus action, you can move up half your speed toward a hostile creature that you can see."
high,Brutish,of the Brute,FALSE,"While this item is equipped, when you hit with a melee weapon attack, your weapon deals one extra die of its damage."
high,Python's,of the Python,FALSE,"While this item is equipped, when you grapple a creature, that creature is also restrained until they break free of the grapple."
high,Pack Mentality,of Pack Mentality,TRUE,"While this item is equipped, you have advantage on an attack roll against a creature if at least one of your allies is within 5 ft of the creature and the ally isn't incapacitated."
high,Steadfast,of Steadfastness,FALSE,"While this item is equipped, you cannot be frightened while you can see or hear an allied creature within 30 feet of you."
high,Shrouded,of Shrouding,TRUE,"While this item is equipped, you are immune to any effect that would sense your emotions or read your thoughts, as well as all divination spells."
high,Seeking,of Seeking,FALSE,"While this item is equipped, if you have even a tiny piece of a creature or an object in your possession, such as a lock of hair or a splinter of wood, this item points towards the most direct route to that creature or object if it is within 1 mile of you."
high,Shadowborn,of the Shadowborn,FALSE,"Shadows seem to cling to this item. While this item is equipped and you are in dim light or darkness, you can take the Hide action as a bonus action."
