Power Level,Prefix Name,Suffix Name,Description
curse,Outdated,of the Grandpa,"WHILE, illusory magic causes your hair and clothing take on the appearance of whatever was fashionable 50 years ago."
high,Restful,of Rest,"This ITEM seems to be of Elven make. WHILE, you need only 4 hours of sleep to gain the effects of a long rest."
high,Replicating,of Replication,"Each dawn roll a d20. On a 20, this ITEM creates an exact duplicate of itself which appears in an empty space within 5ft. of the original."
high,Blind Man's,of the Blind Man,"WHILE, you gain blindsight out to a range of 10 ft."
high,Badger's,of the Badger,"WHILE, you gain tremorsense out to a range of 15 ft."
high,Master Acrobat's,of Acrobatics,"WHILE, you have advantage on Dexterity(Acrobatics) checks."
high,Beastmaster's,of the Beastmaster,"WHILE, you have advantage on Wisdom(Animal Handling) checks."
high,Archmage's,of the Archmage,"This ITEM is covered in arcane symbols. WHILE, you have advantage on Intelligence(Arcana) checks."
high,Olympic,of the Olympian,"WHILE, you have advantage on Strength(Athletics) checks."
high,Compulsive Liar's,of the Compulsive Liar,"WHILE, you have advantage on Charisma(Deception) checks."
high,History Professor's,of the Professor,"WHILE, you have advantage on Intelligence(History) checks."
high,All Seeing,of the All Seeing,"WHILE, you have advantage on Wisdom(Insight) checks."
high,Fearsome,of Fear,"WHILE, you have advantage on Charisma(Intimidation) checks."
high,Detective's,of the Detective,"WHILE, you have advantage on Intelligence(Investigation) checks."
high,Doctor's,of the Doctor,"WHILE, you have advantage on Wisdom(Medicine) checks."
high,Park Ranger's,of the Park Ranger,"WHILE, you have advantage on Intelligence(Nature) checks."
high,Eagle-Eyed,of Eagle-Eyes,"This ITEM has the eyes of an eagle carved or inscribed upon it. WHILE, you have advantage on Wisdom(Perception) checks."
high,Oscar Winning,of the Oscar,"WHILE, you have advantage on Charisma(Performance) checks."
high,Salesman's,of Salesmen,"WHILE, you have advantage on Charisma(Persuasion) checks."
high,Saintly,of the Saint,"This ITEM has a religious symbol carved or inscribed upon it. WHILE, you have advantage on Intelligence(Religion) checks."
high,Shadow Hand's,of the Shadow Hand,"WHILE, you have advantage on Dexterity(Sleight of Hand) checks."
high,Pure Shadow,of Pure Shadow,"Nearby shadows seem to cling to this ITEM. WHILE, you have advantage on Dexterity(Stealth) checks."
high,Survivor's,of Survival,"WHILE, you have advantage on Wisdom(Survival) checks."
high,Longstrider's,of the Longstrider,"WHILE, your walking speed increases by 10 ft."
high,Unrelenting,of Unrelenting,"WHILE, finishing a short rest reduces your exhaustion level by 1, provided you also ingested some food or drink."
high,Shorter Rest,of Shorter Rests,"WHILE, you need only 30 minutes to gain the effects of a short rest."
high,Rapid Recovery,of Rapid Recovery,"WHILE, you can use an action to spend a number of hit dice equal to half of your total number of hit dice (rounded down). Each hit die restores your hit points as if it had been spent during a short rest."
high,Resistant (Slashing),of Slashing Resistance,"WHILE, you are resistant to slashing damage."
high,Resistant (Piercing),of Piercing Resistance,"WHILE, you are resistant to piercing damage."
high,Resistant (Bludgeoning),of Bludgeoning Resistance,"WHILE, you are resistant to bludgeoning damage."
high,Resistant (Poison),of Poison Resistance,"WHILE, you are resistant to poison damage."
high,Resistant (Acid),of Acid Resistance,"WHILE, you are resistant to acid damage."
high,Resistant (Fire),of Fire Resistance,"WHILE, you are resistant to fire damage."
high,Resistant (Cold),of Cold Resistance,"This ITEM radiates a calming warmth. WHILE, you are resistant to cold damage."
high,Resistant (Radiant),of Radiant Resistance,"WHILE, you are resistant to radiant damage."
high,Resistant (Necrotic),of Necrotic Resistance,"WHILE, you are resistant to necrotic damage."
high,Resistant (Lightning),of Lightning Resistance,"WHILE, you are resistant to lightning damage."
high,Resistant (Thunder),of Thunder Resistance,"WHILE, you are resistant to thunder damage."
high,Resistant (Force),of Force Resistance,"WHILE, you are resistant to force damage."
high,Resistant (Psychic),of Psychic Resistance,"WHILE, you are resistant to psychic damage."
high,Amphibious,of Amphibians,"WHILE, you can breathe in both air and water."
high,Nocturnal,of the Nocturnal,"WHILE, you gain darkvision out to a range of 30 ft."
high,Keen Sight,of Keen Sight,"WHILE, you have advantage on Wisdom(Perception) checks that rely on sight."
high,Keen Hearing,of Keen Hearing,"WHILE, you have advantage on Wisdom(Perception) checks that rely on hearing."
high,Keen Smell,of Keen Smell,"WHILE, you have advantage on Wisdom(Perception) checks that rely on smell."
high,Unseen,of the Unseen,"As an action, you can use this ITEM to make yourself invisible, gaining the effects of the Invisibility spell (no concentration required) for up to one minute. This feature cannot be used again until the next dawn."
high,Silent,of Silence,"As an action, you can use this ITEM to create a 10 ft. sphere of silence centered on and moving with the ITEM. For one minute, the area within the sphere is under the effect of the Silence spell (no concentration required. This feature cannot be used again until the next dawn."
high,Aviator's,of Aviation,"This ITEM has a pair of wings carved or inscribed on it. As an action, you can use this ITEM to give yourself a flying speed of 30 ft. for one minute. This ITEM becomes weightless and flies with you for the duration as long as you are touching it. This feature cannot be used again until the next dawn."
high,Stoneborn,of the Stoneborn,"This ITEM seems to made from solid stone. WHILE, you can move through solid stone as if it were difficult terrain. If you end your turn still within the stone, you are expelled to the nearest unoccupied space, taking 2d6 bludgeoning damage per 5 ft. of stone you move through."
high,Unseen Spirit's,of the Unseen Spirit,"This ITEM contains an ancient spirit. As an action, you can summon the spirit from the ITEM to do your bidding for one hour, gaining the effects of the Unseen Servant spell. The spirit cannot move more than 60 ft. away from the ITEM. This feature cannot be used again until the next dawn."
high,Sylvan Ambassador's,of the Sylvan Ambassador,"This ITEM appears to be made from still-living wood. WHILE, you can use an action to touch a tree and see its recent memories. You learn the type and number of any creatures that have moved within 15 ft. of this tree in the last 24 hours. "
high,Lucky,of Luck,"After spending one minute performing a ritual, praying, or meditating, choose a number between 2-19. WHILE, your attacks score a critical hit on a roll of 20 or the chosen number. You cannot change the chosen number again until the next dawn."
high,Defender,of Defense,"This ITEM is sturdy and well worn. WHILE, you gain a +1 bonus to your AC."
high,Thought Protecting,of Thought Protection,"WHILE, you gain a +1 bonus to your Intelligence, Wisdom, and Charisma saving throws and you are immune to the charmed and frightened conditions."
high,Unsleeping,of the Unsleeping,"This ITEM has a pair of open eyes carved or inscribed upon it. WHILE, you cannot be put to sleep by poison or magical means."
high,Brave,of Bravery,"Touching this ITEM makes your feel brave, even in the face of immense danger. WHILE, you have advantage on saves made to resist the frightened condition."
high,Peerless,of Peerless Physique,"WHILE, you gain a +1 bonus to your Strength, Dexterity, and Constitution saving throws and you are immune to the paralyzed and poisoned conditions."
high,Skilled,of the Skilled,"This item grants you a portion of each of its previous owners' skill sets. WHILE, you gain a +1 bonus to all skill checks."
high,Tradesman's,of All Trades,"Over the years, this ITEM has passed through the hands of many skilled craftsmen. WHILE, you gain a +1 bonus to checks made with any tool set."
high,Mole Person's,of the Mole People,"This ITEM is always caked in dirt and mud, as if it was just dug up from the ground. WHILE, you gain a burrowing speed of 30 ft. and tremorsense out to a range of 60 ft."
high,Burrowing,of Burrowing,"This ITEM is always caked in dirt and mud, as if it was just dug up from the ground. WHILE, you gain a burrowing speed of 30 ft."
high,Pain-Sharing,of Shared Pain,"WHILE, when another creature you can see within 30 ft. takes damage, you can use your reaction to reduce the damage taken by 1d12. You also take psychic damage equal to the number rolled."
high,Windwalker's,of Wind Walking,"This ITEM is exceptionally light. WHILE, you have a flying speed equal to your walking speed. This benefit works only in short bursts; you fall if you end your turn in the air and nothing else is holding you aloft."
high,Lost Climber's,of the Lost Climber,"WHILE, you have a climbing speed equal to your walking speed. Additionally, you have advantage on Wisdom (Survival) checks made in mountainous terrain."
high,Awesome,of Ultimate Awesomeness,"WHILE, you are fuckin awesome. Just an absolute badass that can do anything you set your mind to (Curse: This ITEM isn't actually magical. The awesomeness was in you all along)."
high,Emberheart,of the Emberheart,"This ITEM radiates an intense but harmless heat and is immune to fire damage. WHILE, you can use an action to regain 4d4+4 hit points. This feature cannot be used again until this ITEM has rested in an open flame (such as a campfire) for at least one hour."
high,Last Stand,of the Last Stand,"WHILE, when you take damage that would reduce your hitpoints to 0, you can use your reaction to make one weapon attack before falling unconscious."
high,Unkillable,of the Unkillable,"WHILE, you have advantage on death saving throws. Additionally, rolling a 1 on a death saving throw only counts as one failure, not two."
high,Ursine,of the Bear,"WHILE, your physical features become akin to that of a bear (clawed hands, large fangs, fur, etc.). Unarmed strikes made with your hands or teeth deal slashing or piercing damage equal to 1d6 plus your Strength modifier."
high,Useful,of Useful Items,"While touching this ITEM, you can perform a 1 minute ritual to transform it into a shortsword, shield, umbrella, crowbar, 10 ft. ladder, 10 ft. chain, or 50 ft. of rope. This transformation lasts 1 hour or until you use an action to touch the item and revert it to its original form."
high,Skeleton Key,of the Skeleton Key,"This ITEM once belonged to a master thief and has a +8 bonus to checks made to pick locks. WHILE, you can attempt to pick a lock that you can touch without requiring thieves' tools and using the item's lockpicking bonus instead of your own. This feature cannot be used again until the next dawn."
high,Battle Cry,of the Battle Cry,"WHILE, you can use an action to unleash a fearsome battle cry. Each enemy within 60 ft. that can hear you must succeed on a DC 13 Wisdom saving throw or become frightened of you until the end of your next turn. Success or failure, a creature cannot be affected by your battle cry again until the next dawn."
high,Extreme,of Extremes,"WHILE, each time you roll a d20, you treat a roll of 1-5 on the die as if it were a 1 and a roll of 16-20 on the die as if it were a 20."
high,Guardian Angel,of the Guardian Angel,"WHILE, when a creature you can see within 30 ft. makes a death saving throw, you can use your reaction to give that creature advantage on the save. You must use this feature prior to the roll."
high,Clear-Sighted,of Clear Sight,"WHILE, you can see through illusions out to a range of 60 ft."
high,Repeating,of Repeating,"WHILE, after taking an action on your turn, you can use a reaction to immediately take the same action again. If you use this feature again before taking a long rest you gain a level of exhaustion for each use after the first."
high,Immutable,of Immutability,"WHILE, you are immune to any spell or effect that would alter your form."
high,Spell Resistant,of Spell Resistance,"WHILE, you have advantage on saving throws against spells and other magical effects."
high,Acid Aura,of the Acid Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 acid damage."
high,Cold Aura,of the Cold Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 cold damage."
high,Fire Aura,of the Fire Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 fire damage."
high,Force Aura,of the Force Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 force damage."
high,Lightning Aura,of the Lightning Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 lightning damage."
high,Necrotic Aura,of the Necrotic Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 necrotic damage."
high,Poison Aura,of the Poison Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 poison damage."
high,Psychic Aura,of the Psychic Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 psychic damage."
high,Radiant Aura,of the Radiant Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 radiant damage."
high,Thunder Aura,of the Thunder Aura,"WHILE, you can use an action to activate this item's aura, which remains active for 1 minute. Upon activation and again at the start of each of your turns, each creature of your choosing within 10 ft. of you takes 1d6 thunder damage."
high,Alert,of Alertness,"WHILE, it whispers warnings of danger to you, granting you a +1 to initiative rolls and Dexterity saving throws."
high,Bull's,of the Bull,"WHILE, you have an exceptionally thick skull. Unarmed strikes made with your head deal bludgeoning damage equal to 1d6 plus your Strength modifier."
low,Glowing,of Glowing,"This ITEM glows faintly, shedding dim light for 5 ft."
low,Misty,of the Mist,"WHILE, you can see clearly through even the thickest fog, smoke, or mist."
low,Pack Leader's,of the Pack Leader,"WHILE, you can understand and be understood by wolves and dogs."
low,Dark,of Darkness,"This ITEM is an impossibly dark shade of black. WHILE, any open flame no larger than a torch within 10 ft. of you is extinguished."
low,Feral,of the Feral,"WHILE, your teeth, eyes, and ears take on slightly more beast-like qualities."
low,Wraith's,of the Wraith,"This ITEM feels lighter than you expect. WHILE, you do not leave footprints."
low,Harlequin's,of Harlequins,"This ITEM is painted with vibrant colors. WHILE, you are an expert juggler."
low,Mockingbird's,of the Mockingbird,"This ITEM has images of birds painted on it. WHILE, you can perfectly mimic the voice of any creature you've heard within the last 24 hours."
low,Gambler's,of Gambling,"WHILE, you can magically pull a real playing card of your choice from your sleeve at will. Any other cards you've created in this manner disappear once you create a new card."
low,Winter Wind,of the Winter Wind,"This ITEM always has a thin layer of frost coating it. WHILE, you can walk on top of snow and ice without falling through."
low,Navigator's,of the Navigator,"WHILE, you always know which way is north."
low,Chromatic,of the Chromatic,"WHILE, you can change the color of your eyes at will."
low,Anchored,of Anchoring,This ITEM cannot leave the plane of existence on which it was made.
low,Thespian's,of the Thespian,"WHILE, you can change the color and style of your hair and makeup at will."
low,Sturdy,of Sturdiness,This ITEM cannot be damaged or destroyed by non-magical means.
low,Serpentine,of Serpents,"WHILE, you can understand and be understood by snakes and serpents."
low,Weary Traveler's,of the Weary Traveler,"This ITEM is sturdy and well worn. WHILE, you always know the direction of the nearest inn or tavern."
low,Miner's,of the Mines,"WHILE and you are underground, you know the direction of the nearest path to the surface, if any such path exists."
low,Buoyant,of Buoyancy,This ITEM floats on water and other liquids.
low,Barber's,of the Barber,"WHILE, an illusory beard appears on your face. You can change the style and color of the beard each dawn."
low,Birdsong,of Birdsongs,"WHILE, you can perfectly mimic the call of any bird you've heard before."
low,Clear Thinking,of Clear Thoughts,"WHILE, you cannot become intoxicated from ingesting alcohol."
low,Drunkard's,of the Drunkard,"WHILE, you do not suffer any of the effects of a hangover after a night of drinking. This does not prevent you from becoming intoxicated from drinking alcohol."
low,Pickpocket's,of Pickpocketing,"WHILE, you know the amount of currency carried by any creature that you can see within 10 feet of you."
low,Commander's,of the Commander,"WHILE, you can choose to make your voice carry up to 500 ft."
low,Bright,of Brightness,"A bright light shines from this ITEM, shedding bright light for 20 feet and dim light for an additional 20 feet."
low,Chef's,of the Chef,"WHILE, you can magically change the flavor of food and beverages that you prepare."
low,Sage,of the Sage,"WHILE, you have an encyclopedic knowledge of a subject chosen by your GM (astronomy, baking, botany, sailing, etc.)."
low,Fungal,of Fungi,"WHILE, you know the location of any fungi within 60 feet of you. Additionally, when you remain in one place for longer than an hour, small, harmless mushrooms begin to grow on and around you."
low,Sweet Dream,of Sweet Dreams,Creatures that sleep within 5 ft. of this ITEM cannot have nightmares.
low,Dead Sleep,of the Dead Sleep,Creatures that sleep within 5 ft. of this ITEM do not dream at all.
low,Dreamcatcher,of Dream Catching,Outside forces cannot tamper with your dreams while you sleep within 5 ft. of this ITEM.
low,Prophetic,of Prophecy,"WHILE, you can use an action to predict what the weather will be like in your location for the next 12 hours."
low,Moonlight,of the Moon,"When exposed to moonlight, this ITEM sheds bright light in a 10 ft. radius and dim light for an additional 10 ft."
low,Starfall,of the Stars,"This ITEM has elements of a meteorite incorporated into its construction. WHILE, you can use an action to determine the direction of the nearest meteorite (excluding this ITEM) within 1,000 ft."
low,Flint,of Flint,"As an action, you can use this ITEM to kindle a small fire or light a torch."
low,Extinguishing,of Extinguishing,"As an action, you can use this ITEM to extinguish a non-magical flame no larger than a campfire within 15 ft. of you."
low,Bartender's,of the Bartender,"As an action, you can use this ITEM to create up to 5 pints of ale, 5 cups of wine, or 5 shots of whiskey. This feature cannot be used again until the next dawn."
low,Magnetic,of Magnets,This ITEM has a light magnetic field causing it to stick to nearby ferrous metals such as iron or steel.
low,Snack Pack,of Snacks,"This ITEM has a hidden compartment filled with nuts, dried fruit, or some other kind of snack. If the compartment is empty, it is magically refilled with more small snacks the next dawn."
low,Rainy Day,of the Rainy Day,"WHILE, an invisible force diverts falling rain before it hits you, as if it were an invisible umbrella."
low,Fisherman's Lucky,of the Lucky Fisherman,"This ITEM is well worn and smells faintly of fish. WHILE, you have advantage on checks made to catch fish or other sea creatures."
low,Musician's,of the Musician,"WHILE, you gain proficiency in one instrument of the GM's choice."
low,Loot Goblin's,of the Loot Goblin,"As an action, you can use this ITEM to determine the direction of the nearest piece of art, jewel, or collection of currency worth 500 gp or more within 1000 ft. of you."
low,Lost,of the Lost Kingdom,"This ITEM bears the cracked or defaced symbol of an ancient kingdom. WHILE, you have advantage on Intelligence(History) checks made to recall lore about ancient kingdoms or civilizations."
low,Dog Person's,of the Dog Person,"WHILE, you have advantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines and disadvantage on Wisdom(Animal Handling) checks to interact with cats."
low,Cat Person's,of the Cat Person,"WHILE, you have advantage on Wisdom(Animal Handling) checks made to interact with cats and disadvantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines."
low,Napoleon's,of Napoleon,"This ITEM appears to be slightly larger than it actually is. WHILE, illusory magic causes you appear to be 1d6 inches taller."
low,Small,of Small Stature,"This ITEM appears to be slightly smaller than it actually is. WHILE, illusory magic causes you appear to be 1d6 inches shorter."
low,Elf Kin,of Elf Kin,"WHILE, illusory magic causes your facial features to appear more elvish, including pointed ears."
low,Orc Kin,of Orc Kin,"WHILE, illusory magic causes your facial features to appear more orcish, including tusks."
low,Dwarf Kin,of Dwarf Kin,"WHILE, illusory magic causes your facial features to appear more dwarvish, including a magnificent beard."
low,Human Kin,of Human Kin,"WHILE, illusory magic causes your facial features to appear more human, including rounded ears."
low,Dragon Kin,of Dragon Kin,"WHILE, illusory magic causes your facial features to appear more draconic (like a dragonborn), including scales."
low,Demon Kin,of Demon Kin,"WHILE, illusory magic causes your facial features to appear more demonic (like a tiefling), including horns."
low,Fey,of the Feywild,"This ITEM is covered in intricate carvings of flowers and vines. It glows faintly when it is within 100 ft. of a portal to the Feywild, shedding dim, greenish light for 5 ft."
low,Shadowfell,of Shadowfell,"This ITEM is a dull grey, as if all its color had been drained. It glows faintly when it is within 100 ft. of a portal to Shadowfell, shedding dim light for 5 ft."
low,Hipster,of Hipsters,"WHILE, you always know the direction of the nearest craft brewery."
low,Elemental Fire,of Elemental Fire,"This ITEM is made entirely of harmless flames. Despite its strange construction, the ITEM is solid to the touch and functions like a normal ITEM. It glows faintly when it is within 100 ft. of a portal to the elemental plane of fire, shedding dim light for 5 ft."
low,Elemental Earth,of Elemental Earth,"This ITEM is made entirely of solid rock. Despite its strange construction, the ITEM is surprisingly light and functions like a normal ITEM. It glows faintly when it is within 100 ft. of a portal to the elemental plane of earth, shedding dim light for 5 ft."
low,Elemental Air,of Elemental Air,"This ITEM is made entirely of swirling air and clouds. Despite its strange construction, the ITEM is solid to the touch and functions like a normal ITEM. It glows faintly when it is within 100 ft. of a portal to the elemental plane of air, shedding dim light for 5 ft."
low,Elemental Water,of Elemental Water,"This ITEM is made entirely of water. Despite its strange construction, the ITEM is solid to the touch and functions like a normal ITEM. It glows faintly when it is within 100 ft. of a portal to the elemental plane of water, shedding dim light for 5 ft."
low,Paired,of Pairs,"This ITEM is paired with another identical item. WHILE, you always know the direction of the other item in the pair."
low,Elderwood,of the Elderwood,"This ITEM is made from an old, dark wood. WHILE, you know the direction of the oldest tree within 10 miles of you."
low,Graceful,of Grace,"This ITEM is light and well balanced. WHILE, you take no damage from falling 30 ft. or less."
low,Singer's,of Singing,"WHILE, you have a lovely singing voice."
low,Stormborn,of the Stormborn,"WHILE, you have a +1 bonus to all skill checks made during thunderstorms."
low,Snowborn,of the Snowborn,"WHILE, you have a +1 bonus to all skill checks made while it is snowing."
low,Melancholic,of Melancholy,"WHILE, you are overcome by a feeling of melancholy."
low,Weather Vane,of the Weather Vane,"Each dawn, this item changes color based on the weather patterns of the upcoming day. Blue for foul/stormy, grey for overcast/neutral, or orange for fair/clear."
low,Bro's,of the Bro,"WHILE, people tend to view you as a chill dude and a real bro. You have advantage on checks made to interact or blend in with bros, lads, or chill dudes."
