Power Level,Prefix Name,Suffix Name,Description
curse,Noisy,of Noise,"This item seems to rattle and creak as you move. While this item is equipped,, you have disadvantage on Dexterity(Stealth) checks."
curse,Naive,of Naivete,"While this item is equipped,, you have disadvantage on Wisdom(Survival) checks."
curse,Sickly,of Sickness,"While this item is equipped,, you have disadvantage on checks or saving throws made to resist disease."
curse,Vulnerable (Slashing),of Slashing Vulnerability,"While this item is equipped,, you are vulnerable to slashing damage."
curse,Vulnerable (Piercing),of Piercing Vulnerability,"While this item is equipped,, you are vulnerable to piercing damage."
curse,Vulnerable (Bludgeoning),of Bludgeoning Vulnerability,"While this item is equipped,, you are vulnerable to bludgeoning damage."
curse,Vulnerable (Poison),of Poison Vulnerability,"While this item is equipped,, you are vulnerable to poison damage."
curse,Vulnerable (Acid),of Acid Vulnerability,"While this item is equipped,, you are vulnerable to acid damage."
curse,Vulnerable (Fire),of Fire Vulnerability,"While this item is equipped,, you are vulnerable to fire damage."
curse,Vulnerable (Cold),of Cold Vulnerability,"While this item is equipped,, you are vulnerable to cold damage."
curse,Vulnerable (Radiant),of Radiant Vulnerability,"While this item is equipped,, you are vulnerable to radiant damage."
curse,Vulnerable (Necrotic),of Necrotic Vulnerability,"While this item is equipped,, you are vulnerable to necrotic damage."
curse,Vulnerable (Lightning),of Lightning Vulnerability,"While this item is equipped,, you are vulnerable to lightning damage."
curse,Vulnerable (Thunder),of Thunder Vulnerability,"While this item is equipped,, you are vulnerable to thunder damage."
curse,Vulnerable (Force),of Force Vulnerability,"While this item is equipped,, you are vulnerable to force damage."
curse,Vulnerable (Psychic),of Psychic Vulnerability,"While this item is equipped,, you are vulnerable to psychic damage."
curse,Blighted,of the Blight,Flowers and other small plants within 10 ft. of this item wilt and die.
curse,Sandy,of Sand,"While this item is equipped,, you constantly find sand in your pockets, shoes, and many other places."
curse,Hopscotch,of Hopscotch,"While this item is equipped,, you can only have one foot touching the ground or floor at a time."
curse,Bob's,of Bob,"The name ""Bob"" is carved or inscribed on this item. While this item is equipped,, your true name is forgotten and you can only be referred to as ""Bob."" Anyone who knew your true name only remembers you as ""Bob."""
curse,Songbird,of the Songbird,"While this item is equipped,, you can only communicate through song."
curse,Head Splitting,of Chronic Migraines,"This item causes chronic headaches to those that touch it. While this item is equipped,, when you complete a long rest you take 1d4 psychic damage."
high,Restful,of Rest,"This item seems to be of Elven make. While this item is equipped,, you need only 4 hours of sleep to gain the effects of a long rest."
high,Replicating,of Replication,"Each dawn roll a d20. On a 20, this item creates an exact duplicate of itself which appears in an empty space within 5ft. of the original."
high,Blind Man's,of the Blind Man,"While this item is equipped,, you gain blindsight out to a range of 10 ft."
high,Badger's,of the Badger,"While this item is equipped,, you gain tremorsense out to a range of 15 ft."
high,Master Acrobat's,of Acrobatics,"While this item is equipped,, you have advantage on Dexterity(Acrobatics) checks."
high,Beastmaster's,of the Beastmaster,"While this item is equipped,, you have advantage on Wisdom(Animal Handling) checks."
high,Archmage's,of the Archmage,"This item is covered in arcane symbols. While this item is equipped,, you have advantage on Intelligence(Arcana) checks."
high,Olympic,of the Olympian,"While this item is equipped,, you have advantage on Strength(Athletics) checks."
high,Compulsive Liar's,of the Compulsive Liar,"While this item is equipped,, you have advantage on Charisma(Deception) checks."
high,History Professor's,of the Professor,"While this item is equipped,, you have advantage on Intelligence(History) checks."
high,All Seeing,of the All Seeing,"While this item is equipped,, you have advantage on Wisdom(Insight) checks."
high,Fearsome,of Fear,"While this item is equipped,, you have advantage on Charisma(Intimidation) checks."
high,Detective's,of the Detective,"While this item is equipped,, you have advantage on Intelligence(Investigation) checks."
high,Doctor's,of the Doctor,"While this item is equipped,, you have advantage on Wisdom(Medicine) checks."
high,Park Ranger's,of the Park Ranger,"While this item is equipped,, you have advantage on Intelligence(Nature) checks."
high,Eagle-Eyed,of Eagle-Eyes,"This item has the eyes of an eagle carved or inscribed upon it. While this item is equipped,, you have advantage on Wisdom(Perception) checks."
high,Oscar Winning,of the Oscar,"While this item is equipped,, you have advantage on Charisma(Performance) checks."
high,Salesman's,of Salesmen,"While this item is equipped,, you have advantage on Charisma(Persuasion) checks."
high,Saintly,of the Saint,"This item has a religious symbol carved or inscribed upon it. While this item is equipped,, you have advantage on Intelligence(Religion) checks."
high,Shadow Hand's,of the Shadow Hand,"While this item is equipped,, you have advantage on Dexterity(Sleight of Hand) checks."
high,Pure Shadow,of Pure Shadow,"Nearby shadows seem to cling to this item. While this item is equipped,, you have advantage on Dexterity(Stealth) checks."
high,Survivor's,of Survival,"While this item is equipped,, you have advantage on Wisdom(Survival) checks."
high,Longstrider's,of the Longstrider,"While this item is equipped,, your walking speed increases by 10 ft."
high,Unrelenting,of Unrelenting,"While this item is equipped,, finishing a short rest reduces your exhaustion level by 1, provided you also ingested some food or drink."
high,Shorter Rest,of Shorter Rests,"While this item is equipped,, you need only 30 minutes to gain the effects of a short rest."
high,Rapid Recovery,of Rapid Recovery,"While this item is equipped,, you can use an action to spend a number of hit dice equal to half of your total number of hit dice (rounded down). Each hit die restores your hit points as if it had been spent during a short rest."
high,Resistant (Slashing),of Slashing Resistance,"While this item is equipped,, you are resistant to slashing damage. This item requires attunement."
high,Resistant (Piercing),of Piercing Resistance,"While this item is equipped,, you are resistant to piercing damage. This item requires attunement."
high,Resistant (Bludgeoning),of Bludgeoning Resistance,"While this item is equipped,, you are resistant to bludgeoning damage. This item requires attunement."
high,Resistant (Poison),of Poison Resistance,"While this item is equipped,, you are resistant to poison damage. This item requires attunement."
high,Resistant (Acid),of Acid Resistance,"While this item is equipped,, you are resistant to acid damage. This item requires attunement."
high,Resistant (Fire),of Fire Resistance,"While this item is equipped,, you are resistant to fire damage. This item requires attunement."
high,Resistant (Cold),of Cold Resistance,"This item radiates a calming warmth. While this item is equipped,, you are resistant to cold damage. This item requires attunement."
high,Resistant (Radiant),of Radiant Resistance,"While this item is equipped,, you are resistant to radiant damage. This item requires attunement."
high,Resistant (Necrotic),of Necrotic Resistance,"While this item is equipped,, you are resistant to necrotic damage. This item requires attunement."
high,Resistant (Lightning),of Lightning Resistance,"While this item is equipped,, you are resistant to lightning damage. This item requires attunement."
high,Resistant (Thunder),of Thunder Resistance,"While this item is equipped,, you are resistant to thunder damage. This item requires attunement."
high,Resistant (Force),of Force Resistance,"While this item is equipped,, you are resistant to force damage. This item requires attunement."
high,Resistant (Psychic),of Psychic Resistance,"While this item is equipped,, you are resistant to psychic damage. This item requires attunement."
high,Amphibious,of Amphibians,"While this item is equipped,, you can breathe in both air and water."
high,Nocturnal,of the Nocturnal,"While this item is equipped,, you gain darkvision out to a range of 30 ft."
high,Keen Sight,of Keen Sight,"While this item is equipped,, you have advantage on Wisdom(Perception) checks that rely on sight."
high,Keen Hearing,of Keen Hearing,"While this item is equipped,, you have advantage on Wisdom(Perception) checks that rely on hearing."
high,Keen Smell,of Keen Smell,"While this item is equipped,, you have advantage on Wisdom(Perception) checks that rely on smell."
high,Unseen,of the Unseen,"As an action, you can use this item to make yourself invisible, gaining the effects of the Invisibility spell (no concentration required) for up to one minute. This feature cannot be used again until the next dawn."
high,Silent,of Silence,"As an action, you can use this item to create a 10 ft. sphere of silence centered on and moving with the item. For one minute, the area within the sphere is under the effect of the Silence spell (no concentration required. This feature cannot be used again until the next dawn."
high,Aviator's,of Aviation,"This item has a pair of wings carved or inscribed on it. As an action, you can use this item to give yourself a flying speed of 30 ft. for one minute. This item becomes weightless and flies with you for the duration as long as you are touching it. This feature cannot be used again until the next dawn."
high,Stoneborn,of the Stoneborn,"This item seems to made from solid stone. While this item is equipped,, you can move through solid stone as if it were difficult terrain. If you end your turn still within the stone, you are expelled to the nearest unoccupied space, taking 2d6 bludgeoning damage per 5 ft. of stone you move through."
high,Unseen Spirit's,of the Unseen Spirit,"This item contains an ancient spirit. As an action, you can summon the spirit from the item to do your bidding for one hour, gaining the effects of the Unseen Servant spell. The spirit cannot move more than 60 ft. away from the item. This feature cannot be used again until the next dawn."
high,Sylvan Ambassador's,of the Sylvan Ambassador,"This item appears to be made from still-living wood. While this item is equipped,, you can use an action to touch a tree and see its recent memories. You learn the type and number of any creatures that have moved within 15 ft. of this tree in the last 24 hours. "
high,Lucky,of Luck,"After spending one minute performing a ritual, praying, or meditating, choose a number between 2-19. While this item is equipped,, your attacks score a critical hit on a roll of 20 or the chosen number. You cannot change the chosen number again until the next dawn. This item requires attunement."
high,Defender,of Defense,"This item is sturdy and well worn. While this item is equipped,, you gain a +1 bonus to your AC. This item requires attunement."
high,Thought Protecting,of Thought Protection,"While this item is equipped,, you gain a +1 bonus to your Intelligence, Wisdom, and Charisma saving throws and you are immune to the charmed and frightened conditions. This item requires attunement."
high,Unsleeping,of the Unsleeping,"This item has a pair of open eyes carved or inscribed upon it. While this item is equipped,, you cannot be put to sleep by poison or magical means."
high,Brave,of Bravery,"Touching this item makes your feel brave, even in the face of immense danger. While this item is equipped,, you have advantage on saves made to resist the frightened condition."
high,Peerless,of Peerless Phsyique,"While this item is equipped,, you gain a +1 bonus to your Strength, Dexterity, and Constitution saving throws and you are immune to the paralyzed and poisoned conditions. This item requires attunement."
high,Skilled,of the Skilled,"This item grants you a portion of each of its previous owners' skill sets. While this item is equipped,, you gain a +1 bonus to all skill checks. This item requires attunement."
high,Tradesman's,of All Trades,"Over the years, this item has passed through the hands of many skilled craftsmen. While this item is equipped,, you gain a +1 bonus to checks made with any tool set."
high,Mole Person's,of the Mole People,"This item is always caked in dirt and mud, as if it was just dug up from the ground. While this item is equipped,, you gain a burrowing speed of 30 ft. and tremorsense out to a range of 60 ft. This item requires attunement."
high,Burrowing,of Burrowing,"This item is always caked in dirt and mud, as if it was just dug up from the ground. While this item is equipped,, you gain a burrowing speed of 30 ft."
high,Pain-Sharing,of Shared Pain,"While this item is equipped,, when another creature you can see within 30 ft. takes damage, you can use your reaction to reduce the damage taken by 1d12. You also take psychic damage equal to the number rolled."
high,Windwalker's,of Wind Walking,"This item is exceptionally light. While this item is equipped,, you have a flying speed equal to your walking speed. This benefit works only in short bursts; you fall if you end your turn in the air and nothing else is holding you aloft. This item requires attunement."
low,Glowing,of Glowing,"This item glows faintly, shedding dim light for 5 ft."
low,Misty,of the Mist,"While this item is equipped,, you can see clearly through even the thickest fog, smoke, or mist."
low,Pack Leader's,of the Pack Leader,"While this item is equipped,, you can understand and be understood by wolves and dogs."
low,Dark,of Darkness,"This item is an impossibly dark shade of black. While this item is equipped,, any open flame no larger than a torch within 10 ft. of you is extinguished."
low,Feral,of the Feral,"While this item is equipped,, your teeth, eyes, and ears take on slightly more beast-like qualities."
low,Wraith's,of the Wraith,"This item feels lighter than you expect. While this item is equipped,, you do not leave footprints."
low,Harlequin's,of Harlequins,"This item is painted with vibrant colors. While this item is equipped,, you are an expert juggler."
low,Mockingbird's,of the Mockingbird,"This item has images of birds painted on it. While this item is equipped,, you can perfectly mimic the voice of any creature you've heard within the last 24 hours."
low,Gambler's,of Gambling,"While this item is equipped,, you can magically pull a real playing card of your choice from your sleeve at will. Any other cards you've created in this manner disappear once you create a new card."
low,Winter Wind,of the Winter Wind,"This item always has a thin layer of frost coating it. While this item is equipped,, you can walk on top of snow and ice without falling through."
low,Navigator's,of the Navigator,"While this item is equipped,, you always know which way is north."
low,Chromatic,of the Chromatic,"While this item is equipped,, you can change the color of your eyes at will."
low,Anchored,of Anchoring,This item cannot leave the plane of existence on which it was made.
low,Thespian's,of the Thespian,"While this item is equipped,, you can change the color and style of your hair and makeup at will."
low,Sturdy,of Sturdiness,This item cannot be damaged or destroyed by non-magical means.
low,Serpentine,of Serpents,"While this item is equipped,, you can understand and be understood by snakes and serpents."
low,Weary Traveler's,of the Weary Traveler,"This item is sturdy and well worn. While this item is equipped,, you always know the direction of the nearest inn or tavern."
low,Miner's,of the Mines,"While this item is equipped, and you are underground, you know the direction of the nearest path to the surface, if any such path exists."
low,Buoyant,of Buoyancy,This item floats on water and other liquids.
low,Barber's,of the Barber,"While this item is equipped,, an illusory beard appears on your face. You can change the style and color of the beard each dawn."
low,Birdsong,of Birdsongs,"While this item is equipped,, you can perfectly mimic the call of any bird you've heard before."
low,Clear Thinking,of Clear Thoughts,"While this item is equipped,, you cannot become intoxicated from ingesting alcohol."
low,Drunkard's,of the Drunkard,"While this item is equipped,, you do not suffer any of the effects of a hangover after a night of drinking. This does not prevent you from becoming intoxicated from drinking alcohol."
low,Pickpocket's,of Pickpocketing,"While this item is equipped,, you know the amount of currency carried by any creature that you can see within 10 feet of you."
low,Commander's,of the Commander,"While this item is equipped,, you can choose to make your voice carry up to 500 ft."
low,Bright,of Brightness,"A bright light shines from this item, shedding bright light for 20 feet and dim light for an additional 20 feet."
low,Chef's,of the Chef,"While this item is equipped,, you can magically change the flavor of food and beverages that you prepare."
low,Sage,of the Sage,"While this item is equipped,, you have an encyclopedic knowledge of a subject chosen by your GM (astronomy, baking, botany, sailing, etc.)."
low,Fungal,of Fungi,"While this item is equipped,, you know the location of any fungi within 60 feet of you. Additionally, when you remain in one place for longer than an hour, small, harmless mushrooms begin to grow on and around you."
low,Sweet Dream,of Sweet Dreams,Creatures that sleep within 5 ft. of this item cannot have nightmares.
low,Dead Sleep,of the Dead Sleep,Creatures that sleep within 5 ft. of this item do not dream at all.
low,Dreamcatcher,of Dream Catching,Outside forces cannot tamper with your dreams while you sleep within 5 ft. of this item.
low,Prophetic,of Prophecy,"While this item is equipped,, you can use an action to predict what the weather will be like in your location for the next 12 hours."
low,Moonlight,of the Moon,"When exposed to moonlight, this item sheds bright light in a 10 ft. radius and dim light for an additional 10 ft."
low,Starfall,of the Stars,"This item has elements of a meteorite incorporated into its construction. While this item is equipped,, you can use an action to determine the direction of the nearest meteorite (excluding this item) within 1,000 ft."
low,Flint,of Flint,"As an action, you can use this item to kindle a small fire or light a torch."
low,Extinguishing,of Extinguishing,"As an action, you can use this item to extinguish a non-magical flame no larger than a campfire within 15 ft. of you."
low,Bartender's,of the Bartender,"As an action, you can use this item to create up to 5 pints of ale, 5 cups of wine, or 5 shots of whiskey. This feature cannot be used again until the next dawn."
low,Magnetic,of Magnets,This item has a light magnetic field causing it to stick to nearby ferrous metals such as iron or steel.
low,Snack Pack,of Snacks,"This item has a hidden compartment filled with nuts, dried fruit, or some other kind of snack. If the compartment is empty, it is magically refilled with more small snacks the next dawn."
low,Rainy Day,of the Rainy Day,"While this item is equipped,, an invisible force diverts falling rain before it hits you, as if it were an invisible umbrella."
low,Fisherman's Lucky,of the Lucky Fisherman,"This item is well worn and smells faintly of fish. While this item is equipped,, you have advantage on checks made to catch fish or other sea creatures."
low,Musician's,of the Musician,"While this item is equipped,, you gain proficiency in one instrument of the GM's choice."
low,Loot Goblin's,of the Loot Goblin,"As an action, you can use this item to determine the direction of the nearest piece of art, jewel, or collection of currency worth 500 gp or more within 1000 ft. of you."
low,Lost,of the Lost Kingdom,"This item bears the cracked or defaced symbol of an ancient kingdom. While this item is equipped,, you have advantage on Intelligence(History) checks made to recall lore about ancient kingdoms or civilizations."
low,Dog Person's,of the Dog Person,"While this item is equipped,, you have advantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines and disadvantage on Wisdom(Animal Handling) checks to interact with cats."
low,Cat Person's,of the Cat Person,"While this item is equipped,, you have advantage on Wisdom(Animal Handling) checks made to interact with cats and disadvantage on Wisdom(Animal Handling) checks made to interact with dogs or other canines."
low,Napoleon's,of Napoleon,"This item appears to be slightly larger than it actually is. While this item is equipped,, illusory magic causes you appear to be 1d6 inches taller."
low,Small,of Small Stature,"This item appears to be slightly smaller than it actually is. While this item is equipped,, illusory magic causes you appear to be 1d6 inches shorter."
low,Elf Kin,of Elf Kin,"While this item is equipped,, illusory magic causes your facial features to appear more elvish, including pointed ears."
low,Orc Kin,of Orc Kin,"While this item is equipped,, illusory magic causes your facial features to appear more orcish, including tusks."
low,Dwarf Kin,of Dwarf Kin,"While this item is equipped,, illusory magic causes your facial features to appear more dwarvish, including a magnificent beard."
low,Human Kin,of Human Kin,"While this item is equipped,, illusory magic causes your facial features to appear more human, including rounded ears."
low,Dragon Kin,of Dragon Kin,"While this item is equipped,, illusory magic causes your facial features to appear more draconic (like a dragonborn), including scales."
low,Demon Kin,of Demon Kin,"While this item is equipped,, illusory magic causes your facial features to appear more demonic (like a tiefling), including horns."
low,Fey,of the Feywild,"This item is covered in intricate carvings of flowers and vines. It glows faintly when it is within 100 ft. of a portal to the Feywild, shedding dim, greenish light for 5 ft."
low,Shadowfell,of Shadowfell,"This item is a dull grey, as if all its color had been drained. It glows faintly when it is within 100 ft. of a portal to Shadowfell, shedding dim light for 5 ft."
low,Hipster,of Hipsters,"While this item is equipped,, you always know the direction of the nearest craft brewery."
low,Elemental Fire,of Elemental Fire,"This item is made entirely of harmless flames. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of fire, shedding dim light for 5 ft."
low,Elemental Earth,of Elemental Earth,"This item is made entirely of solid rock. Despite its strange construction, the item is surprisingly light and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of earth, shedding dim light for 5 ft."
low,Elemental Air,of Elemental Air,"This item is made entirely of swirling air and clouds. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of air, shedding dim light for 5 ft."
low,Elemental Water,of Elemental Water,"This item is made entirely of water. Despite its strange construction, the item is solid to the touch and functions like a normal item. It glows faintly when it is within 100 ft. of a portal to the elemental plane of water, shedding dim light for 5 ft."
low,Paired,of Pairs,"This item is paired with another identical item. While this item is equipped,, you always know the direction of the other item in the pair."
low,Elderwood,of the Elderwood,"This item is made from an old, dark wood. While this item is equipped,, you know the direction of the oldest tree within 10 miles of you."
low,Graceful,of Grace,"This item is light and well balanced. While this item is equipped,, you take no damage from falling 30 ft. or less."
low,Singer's,of Singing,"While this item is equipped,, you have a lovely singing voice."
medium,Master Alchemist's,of Alchemy,"While this item is equipped,, you have advantage on checks made using alchemist's supplies."
medium,Master Brewer's,of Brewing,"While this item is equipped,, you have advantage on checks made using brewer's supplies."
medium,Master Calligrapher's,of Calligraphy,"While this item is equipped,, you have advantage on checks made using calligrapher's supplies."
medium,Master Carpenter's,of Carpentry,"While this item is equipped,, you have advantage on checks made using carpenter's tools."
medium,Master Cartographer's,of Cartography,"While this item is equipped,, you have advantage on checks made using cartographer's tools."
medium,Master Cobbler's,of the Cobbler,"While this item is equipped,, you have advantage on checks made using cobbler's tools."
medium,Master Chef's,of the Chef,"While this item is equipped,, you have advantage on checks made using cook's utensils."
medium,Master of Disguise's,of Disguise,"While this item is equipped,, you have advantage on checks made using a disguise kit."
medium,Master Forger's,of Forgery,"While this item is equipped,, you have advantage on checks made using a forgery kit."
medium,Master Glassblower's,of the Glassblower,"While this item is equipped,, you have advantage on checks made using glassblower's tools."
medium,Master Herbalist's,of Herbalism,"While this item is equipped,, you have advantage on checks made using an herbalism kit."
medium,Master Jeweler's,of the Jeweler,"While this item is equipped,, you have advantage on checks made using jeweler's tools."
medium,Master Leatherworker's,of Leatherworking,"While this item is equipped,, you have advantage on checks made using leatherworker's tools."
medium,Master Mason's,of Masonry,"While this item is equipped,, you have advantage on checks made using mason's tools."
medium,Master Navigator's,of Navigation,"While this item is equipped,, you have advantage on checks made using navigator's tools."
medium,Master Painter's,of the Painter,"While this item is equipped,, you have advantage on checks made using painter's supplies."
medium,Master Poisoner's,of Poison,"While this item is equipped,, you have advantage on checks made using a poisoner's kit."
medium,Master Potter's,of Pottery,"While this item is equipped,, you have advantage on checks made using potter's tools."
medium,Master Smith's,of the Smith,"While this item is equipped,, you have advantage on checks made using smith's tools."
medium,Master Thieves',of the Thief,"While this item is equipped,, you have advantage on checks made using thieves' tools."
medium,Master Tinker's,of the Tinker,"While this item is equipped,, you have advantage on checks made using tinker's tools."
medium,Master Weaver's,of Weaving,"While this item is equipped,, you have advantage on checks made using weaver's tools."
medium,Master Woodcarver's,of Woodcarving,"While this item is equipped,, you have advantage on checks made using woodcarver's tools."
medium,Scribe's,of the Scribe,"While this item is equipped,, you can comprehend written text no matter the language."
medium,Wasteland,of the Wastes,This item draws you in the direction of the nearest natural source of water within 10 miles.
medium,Waterwalking,of Waterwalking,"While this item is equipped,, you can walk on water as if it was a solid surface."
medium,Observant,of Observations,"While this item is equipped,, you are able to see writing that has been obscured or made invisible."
medium,Bound,of the Bound,This item cannot be removed from your possession against your will.
medium,Toasty,of Toastiness,"This item is constantly radiating a dull warmth. While this item is equipped,, you do not suffer the negative effects of temperatures as cold as -40 degrees Fahrenheit."
medium,Chill,of Chilliness,"This item is always cold to the touch. While this item is equipped,, you do not suffer the negative effects of temperatures as hot as 140 degrees Fahrenheit."
medium,Snake Charmer's,of the Snake Charmer,"Once per day, you can turn this item into a snake. The snake obeys your commands and lasts for one hour. If the snake is killed it does not revert back to its original form and the item is destroyed."
medium,Leaping,of Leaping,"While this item is equipped,, the distance and height you can jump is doubled."
medium,Translator's,of Translation,"While this item is equipped,, you can understand any spoken language."
medium,Flexible,of Flexibility,"While this item is equipped,, you can grant yourself advantage on one Dexterity(Acrobatics) check. This feature cannot be used again until the next dawn."
medium,Zookeeper's,of the Zookeeper,"While this item is equipped,, you can grant yourself advantage on one Wisdom(Animal Handling) check. This feature cannot be used again until the next dawn."
medium,Arcanist's,of the Arcanist,"While this item is equipped,, you can grant yourself advantage on one Intelligence(Arcana) check. This feature cannot be used again until the next dawn."
medium,Athlete's,of the Athlete,"While this item is equipped,, you can grant yourself advantage on one Strength(Athletics) check. This feature cannot be used again until the next dawn."
medium,Liar's,of Lies,"While this item is equipped,, you can grant yourself advantage on one Charisma(Deception) check. This feature cannot be used again until the next dawn."
medium,Ancient,of the Ancients,"While this item is equipped,, you can grant yourself advantage on one Intelligence(History) check. This feature cannot be used again until the next dawn."
medium,Truth Seeking,of the Truth Seeker,"While this item is equipped,, you can grant yourself advantage on one Wisdom(Insight) check. This feature cannot be used again until the next dawn."
medium,Menacing,of Menacing,"While this item is equipped,, you can grant yourself advantage on one Charisma(Intimidation) check. This feature cannot be used again until the next dawn."
medium,Inquisitive,of the Inquisition,"While this item is equipped,, you can grant yourself advantage on one Intelligence(Investigation) check. This feature cannot be used again until the next dawn."
medium,Healer's,of the Healer,"While this item is equipped,, you can grant yourself advantage on one Wisdom(Medicine) check. This feature cannot be used again until the next dawn."
medium,Wild,of the Wilds,"While this item is equipped,, you can grant yourself advantage on one Intelligence(Nature) check. This feature cannot be used again until the next dawn."
medium,Eagle's,of Eagles,"While this item is equipped,, you can grant yourself advantage on one Wisdom(Perception) check. This feature cannot be used again until the next dawn."
medium,Actor's,of the Actor,"While this item is equipped,, you can grant yourself advantage on one Charisma(Performance) check. This feature cannot be used again until the next dawn."
medium,Silver-Tongued,of the Silver Tongue,"While this item is equipped,, you can grant yourself advantage on one Charisma(Persuasion) check. This feature cannot be used again until the next dawn."
medium,Devoted,of Devotion,"While this item is equipped,, you can grant yourself advantage on one Intelligence(Religion) check. This feature cannot be used again until the next dawn."
medium,Sly,of the Sly,"While this item is equipped,, you can grant yourself advantage on one Dexterity(Sleight of Hand) check. This feature cannot be used again until the next dawn."
medium,Shadow,of Shadows,"While this item is equipped,, you can grant yourself advantage on one Dexterity(Stealth) check. This feature cannot be used again until the next dawn."
